"","long","lat","order","piece","id","group"
"1",316105.735971403,441511.141031415,1,"1","0","0.1"
"2",316092.256481967,441473.444426894,2,"1","0","0.1"
"3",316055.90847366,441361.674495505,3,"1","0","0.1"
"4",316008.37229904,441143.735051083,4,"1","0","0.1"
"5",315958.04585936,440948.135606996,5,"1","0","0.1"
"6",315958.047462923,440850.346402401,6,"1","0","0.1"
"7",315977.618870527,440766.517114028,7,"1","0","0.1"
"8",316025.160269167,440665.928686042,8,"1","0","0.1"
"9",316125.741702286,440524.181085133,9,"1","0","0.1"
"10",316134.211988667,440512.251386298,10,"1","0","0.1"
"11",316209.71359451,440375.34356508,11,"1","0","0.1"
"12",316209.715289749,440271.954354039,12,"1","0","0.1"
"13",316172.877187317,440170.794436325,13,"1","0","0.1"
"14",316129.918289649,440123.403927031,14,"1","0","0.1"
"15",316101.15886863,440097.523475073,15,"1","0","0.1"
"16",316083.259280009,440084.013411977,16,"1","0","0.1"
"17",316067.249511969,440076.603083541,17,"1","0","0.1"
"18",316018.08991953,440065.492556948,18,"1","0","0.1"
"19",315974.760368775,440060.041782615,19,"1","0","0.1"
"20",315946.500565181,440058.951306486,20,"1","0","0.1"
"21",315903.500745765,440062.10068623,21,"1","0","0.1"
"22",315854.911002063,440066.649649831,22,"1","0","0.1"
"23",315571.792141105,440111.754717514,23,"1","0","0.1"
"24",315557.692380967,440111.80468433,24,"1","0","0.1"
"25",315530.372628825,440111.904306427,25,"1","0","0.1"
"26",315360.433803138,440101.36157968,26,"1","0","0.1"
"27",315214.714990519,440081.699194156,27,"1","0","0.1"
"28",314850.798191753,440032.593435456,28,"1","0","0.1"
"29",314800.228666191,440030.822639892,29,"1","0","0.1"
"30",314632.499778307,440024.969873869,30,"1","0","0.1"
"31",314513.540451155,440021.468084164,31,"1","0","0.1"
"32",314341.991619753,440036.095044255,32,"1","0","0.1"
"33",314234.541910756,440055.973304468,33,"1","0","0.1"
"34",314124.172236256,440076.401412712,34,"1","0","0.1"
"35",314025.442613851,440097.26975871,35,"1","0","0.1"
"36",313956.812788421,440102.678279229,36,"1","0","0.1"
"37",313916.948878675,440095.664254697,37,"1","0","0.1"
"38",313746.854888675,440065.73533797,38,"1","0","0.1"
"39",313616.744071108,440045.202569072,39,"1","0","0.1"
"40",313436.447810896,440016.750413981,40,"1","0","0.1"
"41",313392.308881074,439972.640030199,41,"1","0","0.1"
"42",313256.741731966,439837.168847483,42,"1","0","0.1"
"43",313150.557590178,439526.989049368,43,"1","0","0.1"
"44",313142.39291916,439208.640974877,44,"1","0","0.1"
"45",313143.943205459,439187.691176584,45,"1","0","0.1"
"46",313158.736287138,438988.252656685,46,"1","0","0.1"
"47",313199.577974885,438882.134193452,47,"1","0","0.1"
"48",313362.960158965,438669.908056482,48,"1","0","0.1"
"49",313369.600518629,438656.908198259,49,"1","0","0.1"
"50",313559.005114082,438286.274033208,50,"1","0","0.1"
"51",313641.120003282,437958.094173682,51,"1","0","0.1"
"52",313648.870553525,437927.117597642,52,"1","0","0.1"
"53",313640.702809325,437796.508573269,53,"1","0","0.1"
"54",313567.186404771,437608.768315068,54,"1","0","0.1"
"55",313563.659184785,437429.319687748,55,"1","0","0.1"
"56",313507.446600803,437309.479620513,56,"1","0","0.1"
"57",313507.446600803,437309.479620513,1,"1","1","1.1"
"58",313457.913698013,437203.879258367,2,"1","1","1.1"
"59",313373.316697665,437048.898852975,3,"1","1","1.1"
"60",313338.069392047,436900.959355209,4,"1","1","1.1"
"61",313351.491581311,436755.160585654,5,"1","1","1.1"
"62",313394.479102735,436288.064405332,6,"1","1","1.1"
"63",313416.760849741,436165.625431947,7,"1","1","1.1"
"64",313464.984886454,435900.608058735,8,"1","1","1.1"
"65",313474.306032631,435822.578745436,9,"1","1","1.1"
"66",313485.997563261,435724.749636087,10,"1","1","1.1"
"67",313514.811221021,435483.701469273,11,"1","1","1.1"
"68",313521.392291743,435428.61192572,12,"1","1","1.1"
"69",313523.10371042,435341.212745448,13,"1","1","1.1"
"70",313528.448043269,435069.324394073,14,"1","1","1.1"
"71",313530.63938793,434995.02493268,15,"1","1","1.1"
"72",313542.555630649,434590.278012514,16,"1","1","1.1"
"73",313656.110744347,434241.671997102,17,"1","1","1.1"
"74",313681.792138195,434146.733083025,18,"1","1","1.1"
"75",313751.505997036,433888.995737386,19,"1","1","1.1"
"76",313778.968275807,433724.327323918,20,"1","1","1.1"
"77",313799.210140526,433603.028524767,21,"1","1","1.1"
"78",313880.453809724,433349.851557158,22,"1","1","1.1"
"79",313897.458319252,433063.533759544,23,"1","1","1.1"
"80",313899.65916018,433026.453801791,24,"1","1","1.1"
"81",313872.234693823,432692.09550476,25,"1","1","1.1"
"82",313770.608981219,432468.725312985,26,"1","1","1.1"
"83",313656.14343453,432239.955045314,27,"1","1","1.1"
"84",313643.223789485,432231.564929979,28,"1","1","1.1"
"85",313465.366798209,432116.032726618,29,"1","1","1.1"
"86",313269.259627389,432018.050279833,30,"1","1","1.1"
"87",313255.509735365,432011.180106101,31,"1","1","1.1"
"88",313049.723539883,431869.857431317,32,"1","1","1.1"
"89",312971.734708466,431816.29656577,33,"1","1","1.1"
"90",312813.26760541,431713.924694703,34,"1","1","1.1"
"91",312616.671044146,431563.512428875,35,"1","1","1.1"
"92",312606.361358918,431555.622380125,36,"1","1","1.1"
"93",312572.642547452,431503.222331653,37,"1","1","1.1"
"94",312519.07420534,431419.931960598,38,"1","1","1.1"
"95",312363.888621436,431213.170553929,39,"1","1","1.1"
"96",312348.459040801,431187.080727789,40,"1","1","1.1"
"97",312279.841296677,431071.030075601,41,"1","1","1.1"
"98",312024.437142578,430822.267641127,42,"1","1","1.1"
"99",311874.780760025,430659.776362202,43,"1","1","1.1"
"100",311841.131444952,430623.235936642,44,"1","1","1.1"
"101",311737.02427062,430494.655100026,45,"1","1","1.1"
"102",311641.547241803,430345.59461461,46,"1","1","1.1"
"103",311600.918566558,430282.144383524,47,"1","1","1.1"
"104",311575.402301948,430065.385266815,48,"1","1","1.1"
"105",311630.695144882,429878.38735963,49,"1","1","1.1"
"106",311836.658059166,429616.982558826,50,"1","1","1.1"
"107",311902.107818751,429591.383643778,51,"1","1","1.1"
"108",311963.017893187,429567.57483135,52,"1","1","1.1"
"109",312045.427391439,429562.086342977,53,"1","1","1.1"
"110",312144.316962792,429567.577786138,54,"1","1","1.1"
"111",312281.655863843,429574.800055918,55,"1","1","1.1"
"112",312300.895683488,429575.810196016,56,"1","1","1.1"
"113",312468.464632711,429575.812927509,57,"1","1","1.1"
